country_code,country_name,scipub,scipub_ln
12,Argentina,44008,10.69212671
13,Armenia,3166,8.06022424
17,Australia,316451,12.66492369
159,Austria,81661,11.31033181
20,Bangladesh,9580,9.167432871
22,Belarus,5146,8.545974993
23,Belgium,114891,11.65173913
27,Bhutan,213,5.361292166
28,Bolivia,1361,7.215975003
29,Bosnia and Herzegovina,3108,8.041734711
30,Botswana,1163,7.058758153
32,Brazil,246294,12.41428122
217,British Indian Ocean Territory,236,5.463831805
34,Brunei,747,6.616065185
35,Bulgaria,11891,9.38353709
94,Cameroon,3346,8.115520882
95,Canada,390215,12.87445315
38,Chile,37100,10.52137225
39,China PR,1721818,14.35889127
103,Colombia,31833,10.36825877
108,Croatia,16593,9.716736199
218,Czech Republic,69711,11.1521134
43,Denmark,95109,11.46277888
47,Dominican Republic,383,5.948034989
2,Egypt,39782,10.59116983
51,Eritrea,,
52,Estonia,9263,9.133783249
16,Ethiopia,4470,8.405143688
55,Fiji,800,6.684611728
56,Finland,63687,11.06173574
57,France,369875,12.82092039
45,Germany,571165,13.25543341
63,Ghana,3886,8.26513563
66,Greece,61296,11.02346987
74,Guyana,319,5.765191103
78,Hongkong,2397,7.781973234
226,Hungary,35198,10.46874454
79,India,314248,12.65793776
80,Indonesia,16305,9.699227088
82,Iran,111635,11.6229899
81,Iraq,4327,8.37262974
83,Ireland,52640,10.87123157
85,Israel,73254,11.20168813
86,Italy,335658,12.72384806
87,Jamaica,1091,6.994849986
88,Japan,492459,13.10716649
90,Jordan,5872,8.67795057
99,Kenya,7267,8.891098831
113,Latvia,6280,8.745125259
116,Libya,1202,7.091742115
119,Luxemburg,5634,8.636574948
133,Macedonia,1971,7.586296307
122,Malawi,1707,7.442492723
123,Malaysia,65005,11.08221947
134,Mexico,68537,11.13512902
127,Morocco,10489,9.258082368
149,Netherlands,208579,12.24807315
147,New Zealand,46373,10.74447267
152,Nigeria,13942,9.542661146
156,Norway,61884,11.03301694
157,Oman,3285,8.097121931
160,Pakistan,32244,10.38108726
164,Papua New Guinea,573,6.350885717
165,Paraguay,856,6.752270376
167,Philippines,7149,8.874727766
169,Poland,118592,11.68344431
170,Portugal,137898,11.83426956
98,Qatar,7959,8.982058643
174,Romania,53016,10.87834903
175,Russia,151773,11.93014126
181,Saudi Arabia,48211,10.78334249
185,Serbia,26239,10.17500213
187,Sierra Leone,309,5.733341277
189,Singapore,65713,11.09305205
191,Slovenia,17949,9.795289682
201,South Africa,63139,11.05309392
107,South Korea,246279,12.41422032
193,Spain,288707,12.57316761
195,Sri Lanka,3951,8.28172399
182,Sweden,143338,11.87296076
183,Switzerland,163471,12.00439088
209,Taiwan,123648,11.7251941
211,Thailand,36211,10.49711822
215,Trinidad and Tobago,1219,7.105786129
220,Turkey,141857,11.86257479
225,Ukraine,23452,10.06271106
232,United Arab Emirates,13991,9.546169545
68,United Kingdom,853107,13.65664026
233,United States,3070056,14.93720636
228,Uzbekistan,1952,7.576609767
231,Venezuela,6034,8.70516542
234,Vietnam,12185,9.407960966
33,Virgin Islands (British),,
89,Yemen,835,6.727431725
177,Zambia,1383,7.232010332
