,period,reporterCode,primaryValue
0,2010,36,38004358372.0
1,2010,40,7191716699.0
2,2010,56,8176073533.354
3,2010,124,43240159894.0
4,2010,208,6426366383.0
5,2010,233,921924050.0
6,2010,251,48872681511.0
7,2010,300,3797414605.0
8,2010,348,6173901000.0
9,2010,352,235665462.0
10,2010,372,3336509645.008
11,2010,392,153203233770.0
12,2010,440,570238922.0
13,2010,528,41097213779.0
14,2010,554,4872407772.413
15,2010,703,8068201925.268
16,2010,724,50142730981.153
17,2010,752,7407657439.0
18,2010,826,61733671529.0
19,2010,842,382964820324.0
20,2011,36,43447909794.0
21,2011,40,8899480099.0
22,2011,56,9395707045.425
23,2011,124,48653536126.0
24,2011,208,6720217637.0
25,2011,233,1419981000.0
26,2011,251,57431105723.0
27,2011,300,3467938901.0
28,2011,348,6079151000.0
29,2011,352,303031245.0
30,2011,372,3578146189.463
31,2011,392,183882189759.0
32,2011,440,628314685.0
33,2011,528,42957013473.362
34,2011,554,5876729911.21
35,2011,703,9515351622.122
36,2011,724,52041127801.01
37,2011,752,6845032635.0
38,2011,826,66039713607.0
39,2011,842,417340261542.0
40,2012,36,45996260698.0
41,2012,40,8576840047.326
42,2012,56,7991103063.081
43,2012,124,50764771704.0
44,2012,208,6405169702.0
45,2012,233,1412968586.0
46,2012,251,53458273330.0
47,2012,300,2944646704.0
48,2012,348,5412282799.0
49,2012,352,341502602.0
50,2012,372,3547683282.129
51,2012,392,188500370264.0
52,2012,440,681588094.0
53,2012,528,41012723859.709
54,2012,554,6248986386.151
55,2012,703,9762565899.442
56,2012,724,45796971467.975
57,2012,752,8053266091.978
58,2012,826,56267400219.0
59,2012,842,444386003526.0
60,2013,36,44861052377.0
61,2013,40,8928340062.038
62,2013,56,7992736880.193
63,2013,124,51209844839.0
64,2013,208,6573974542.0
65,2013,233,1465546691.0
66,2013,251,54221962983.0
67,2013,300,2914166574.0
68,2013,348,5360437378.0
69,2013,352,391969275.0
70,2013,372,3997916568.361
71,2013,392,180977514211.0
72,2013,440,750783908.0
73,2013,528,42219298826.795
74,2013,554,6770766523.427
75,2013,703,12224399631.133
76,2013,724,46266777871.711
77,2013,752,8197296165.93
78,2013,826,57587864581.0
79,2013,842,459107864232.0
80,2014,36,46854594144.0
81,2014,40,9625579505.719
82,2014,56,8661725797.855
83,2014,124,53066195538.0
84,2014,208,7113521257.0
85,2014,233,1506153282.0
86,2014,251,56416479646.0
87,2014,300,3313757754.0
88,2014,348,5140096968.0
89,2014,352,397510600.0
90,2014,372,4499551031.411
91,2014,392,181294159255.0
92,2014,440,884211851.0
93,2014,528,47037454316.324
94,2014,554,7198993138.419
95,2014,703,13355685131.945
96,2014,724,52971625587.906
97,2014,752,8695062124.562
98,2014,826,64147253698.0
99,2014,842,486296238006.0
100,2015,36,46292722371.0
101,2015,40,8755837829.701
102,2015,56,7663941672.529
103,2015,124,51368522083.886
104,2015,208,6375315508.0
105,2015,233,1262875980.0
106,2015,251,51871364118.0
107,2015,300,2831346469.0
108,2015,348,4776876860.0
109,2015,352,414334776.0
110,2015,372,4765502034.686
111,2015,392,160559698699.0
112,2015,440,806015898.0
113,2015,528,35955086004.413
114,2015,554,7146236998.723
115,2015,703,12938020676.893
116,2015,724,52485766998.356
117,2015,752,8216406647.392
118,2015,826,62979613764.0
119,2015,842,504028116963.0
120,2016,36,44241021648.0
121,2016,40,8779584820.595
122,2016,56,7415774420.98
123,2016,124,48575917684.254
124,2016,208,6435820180.032
125,2016,233,2601014598.442
126,2016,251,51032597789.0
127,2016,300,3194687236.0
128,2016,348,9733931260.0
129,2016,352,419223668.0
130,2016,372,4581620163.004
131,2016,392,156552583048.0
132,2016,440,784256814.99
133,2016,528,35979810323.887
134,2016,554,7203337601.777
135,2016,703,12692954332.058
136,2016,724,52757593558.974
137,2016,752,7876689498.15
138,2016,826,59575883133.0
139,2016,842,481310447998.0
140,2017,36,49971610459.392
141,2017,40,9526904208.166
142,2017,56,7738744130.923
143,2017,124,54652257046.605
144,2017,208,6725374194.574
145,2017,233,2953436804.041
146,2017,251,55401050257.348
147,2017,300,3070606079.374
148,2017,348,5291299783.0
149,2017,352,483220208.436
150,2017,372,5004575833.047
151,2017,392,164543433301.953
152,2017,440,929395701.95
153,2017,528,40790608949.524
154,2017,554,7748410971.97
155,2017,703,12204313072.456
156,2017,724,58358138609.45
157,2017,752,8401806026.269
158,2017,826,59860984044.661
159,2017,842,525764714470.0
160,2018,36,57102168766.725
161,2018,40,10755897501.367
162,2018,56,8273273483.839
163,2018,124,58326303197.793
164,2018,208,7197566422.049
165,2018,233,3339304420.978
166,2018,251,59036932917.327
167,2018,300,4241221017.185
168,2018,348,12754696524.0
169,2018,352,680314734.922
170,2018,372,6275729116.42
171,2018,392,173716566952.912
172,2018,440,1009313530.0
173,2018,528,46276604505.926
174,2018,554,8643468142.917
175,2018,703,11093290728.218
176,2018,724,63594813126.837
177,2018,752,9059114642.325
178,2018,826,63391696591.004
179,2018,842,563203119540.0
180,2019,36,56448232586.902
181,2019,40,10998301463.325
182,2019,56,8539413646.656
183,2019,124,56541202356.148
184,2019,208,7030520269.719
185,2019,233,3026122557.58
186,2019,251,59564010774.077
187,2019,300,4546496425.066
188,2019,348,14315795000.0
189,2019,352,485664372.456
190,2019,372,6185710542.301
191,2019,392,169295821037.71
192,2019,440,1039963804.0
193,2019,528,48168517539.151
194,2019,554,8542972033.747
195,2019,703,11569210952.95
196,2019,724,65275451323.016
197,2019,752,9665745204.406
198,2019,826,65529528079.325
199,2019,842,472464913744.0
200,2020,36,60208016256.254
201,2020,40,11626199665.511
202,2020,56,9467039943.401
203,2020,124,57131037420.364
204,2020,208,7534800891.89
205,2020,233,3306489358.92
206,2020,251,41096131586.021
207,2020,300,4275097434.878
208,2020,348,18034120756.0
209,2020,352,480796151.99
210,2020,372,7477588962.299
211,2020,392,163850555245.582
212,2020,440,1336895926.0
213,2020,528,51227906353.633
214,2020,554,8296252307.32
215,2020,703,11465445816.322
216,2020,724,67020355926.633
217,2020,752,9248034307.204
218,2020,826,75478932256.567
219,2020,842,457164215509.0
220,2021,36,72858757972.878
221,2021,40,15489570220.236
222,2021,56,12516653458.49
223,2021,124,68559619546.811
224,2021,208,9799627671.989
225,2021,233,4216846333.52
226,2021,251,48189354261.874
227,2021,300,5924661601.138
228,2021,348,19650807462.0
229,2021,352,694912863.846
230,2021,372,9996877586.329
231,2021,392,185664476693.582
232,2021,440,1855223041.99
233,2021,528,63542649265.415
234,2021,554,11774053083.663
235,2021,703,15312075755.062
236,2021,724,82400696121.752
237,2021,752,12908672793.53
238,2021,826,91162191832.604
239,2021,842,541531352242.0
240,2022,36,83730941500.959
241,2022,40,18374175542.94
242,2022,56,15945050733.881
243,2022,124,76991873836.818
244,2022,208,10643508194.11
245,2022,233,4806761168.58
246,2022,251,51751166163.549
247,2022,300,8327452143.694
248,2022,348,21467127614.0
249,2022,352,903493842.864
250,2022,372,15193428164.168
251,2022,392,188857701313.612
252,2022,440,2088639733.0
253,2022,528,67656334150.498
254,2022,554,12686967649.288
255,2022,703,17445420202.462
256,2022,724,104401418354.515
257,2022,752,14321195058.686
258,2022,826,110328925110.132
259,2022,842,575688091172.0
260,2023,36,71820697468.717
261,2023,40,16339720323.874
262,2023,56,14237893001.577
263,2023,124,66082873036.096
264,2023,208,7766787182.912
265,2023,233,4344342807.42
266,2023,251,44858574684.799
267,2023,300,7461352914.941
268,2023,348,19578500108.0
269,2023,352,826643221.73
270,2023,372,11553221072.246
271,2023,392,168056752298.053
272,2023,440,1845974137.0
273,2023,528,55403242550.136
274,2023,554,10456232285.786
275,2023,703,17063802064.596
276,2023,724,95110792305.498
277,2023,752,11054665018.998
278,2023,826,99220998768.775
279,2023,842,448017376384.0
